ID	RoleType	Type	ShowID	Name	IconID	DefaultRGBA	Label
0	0	0	0	默认	0	255;255;255;255	0
1	1	0	1	默认	20597	216;188;179;255	
2	1	0	2	面部皮肤·2	20598	216;188;179;255	
3	1	0	3	面部皮肤·3	20599	216;188;179;255	
4	1	0	4	面部皮肤·4	20600	216;188;179;255	
5	1	0	5	面部皮肤·5	20601	216;188;179;255	
6	1	1	1	默认	19673	134;116;109;255	
7	1	1	2	左虹膜·1	19673	134;116;109;255	
8	1	1	3	左虹膜·2	19674	67;43;53;255	
9	1	1	4	左虹膜·3	19675	174;163;166;255	
10	1	1	5	左虹膜·4	19676	178;184;178;255	
11	1	1	6	左虹膜·5	19677	90;39;17;255	
12	1	1	7	左虹膜·6	19678	161;162;160;255	
13	1	1	8	左虹膜·7	19679	150;108;70;255	
14	1	1	9	左虹膜·8	19680	161;162;160;255	
15	1	1	10	左虹膜·9	19681	155;148;151;255	
16	1	1	11	左虹膜·10	19682	112;110;106;255	
17	1	1	12	左虹膜·11	19683	112;110;106;255	
18	1	1	13	左虹膜·12	19684	112;110;106;255	
19	1	1	14	左虹膜·13	19685	95;87;83;255	
20	1	1	15	左虹膜·14	19686	150;108;70;255	
21	1	1	16	左虹膜·15	19687	150;108;70;255	
22	1	1	17	左虹膜·16	19688	23;134;159;255	
23	1	1	18	左虹膜·17	19689	148;71;87;255	
24	1	1	19	左虹膜·18	19690	173;116;173;255	
25	1	1	20	左虹膜·19	19691	166;161;144;255	
26	1	1	21	左虹膜·20	19692	46;156;156;255	
27	1	1	22	左虹膜·21	19693	101;173;178;255	
28	1	1	23	左虹膜·22	19694	94;115;81;255	
29	1	1	24	左虹膜·23	19695	77;134;124;255	
30	1	1	25	左虹膜·24	19696	67;12;41;255	
31	1	1	26	左虹膜·25	19697	139;108;141;255	
32	1	2	1	默认	19673	134;116;109;255	
33	1	2	2	右虹膜·1	19673	134;116;109;255	
34	1	2	3	右虹膜·2	19674	67;43;53;255	
35	1	2	4	右虹膜·3	19675	174;163;166;255	
36	1	2	5	右虹膜·4	19676	178;184;178;255	
37	1	2	6	右虹膜·5	19677	90;39;17;255	
38	1	2	7	右虹膜·6	19678	161;162;160;255	
39	1	2	8	右虹膜·7	19679	150;108;70;255	
40	1	2	9	右虹膜·8	19680	161;162;160;255	
41	1	2	10	右虹膜·9	19681	155;148;151;255	
42	1	2	11	右虹膜·10	19682	112;110;106;255	
